sentence,model_answer
Some mortals are not humans,True
All dogs are canines,True
Some animals are not vehicles,True
Some evergreens are pines,True
All plants are blossoms,False
Some planes are not warships,True
Some mortals are not animals,True
Some perennials are trees,True
Some perennials are evergreens,True
Some watercrafts are battleships,True
All winged animals are birds,True
All humans are mortals,True
No boeings are planes,False
Some planes are aircrafts,True
Some felines are cats,True
No labradors are cats,True
All chickadees are winged animals,True
All cats are dogs,False
All warships are cars,False
No dogs are canines,False
No planes are boeings,False
All flowers are plants,True
All felines are cats,True
All animals are humans,False
No cows are birds,True
No siameses are cats,False
Some flowers are blossoms,True
Some cows are anguses,False
All plants are flowers,False
All dogs are pooches,True
No cars are warships,True
All birds are cows,False
No sedans are animals,True
Some cruisers are warships,True
No animals are humans,True
All plants are daisies,False
All cats are kitties,True
All evergreens are flowers,False
All vehicles are cars,False
No labradors are dogs,False
Some cats are kitties,True
Some cars are sedans,True
All dogs are siameses,False
Some animals are not sedans,True
No winged animals are chickadees,True
No evergreens are flowers,True
All animals are cars,False
All labradors are cats,False
No labradors are canines,False
Some birds are not cats,True
No aircrafts are planes,False
No cows are mammals,False
Some cows are not anguses,True
All canines are dogs,True
Some boeings are not warships,True
All winged animals are birdies,False
Some airplanes are aircrafts,True
No canines are dogs,False
All animals are creatures,True
Some dogs are not labradors,True
All cats are felines,True
All animals are mortals,False
Some cats are not canines,True
Some automobiles are cars,True
Some boeings are planes,True
All sedans are warships,False
Some kitties are felines,True
All cats are labradors,False
Some vehicles are not animals,True
Some boeings are aircrafts,True
Some humans are mortals,True
No birds are cows,True
Some animals are not humans,True
All birds are winged animals,True
Some daisies are flowers,True
No warships are cruisers,False
Some mammals are not birds,True
No vehicles are animals,True
All vehicles are sedans,False
Some flowers are not daisies,True
All chickadees are cows,False
No mammals are cows,True
No felines are siameses,True
No warships are watercrafts,False
No watercrafts are planes,True
All perennials are evergreens,False
All perennials are trees,False
No humans are animals,False
Some aircrafts are not boeings,True
Some cattles are mammals,True
All warships are battleships,False
All evergreens are trees,True
No chickadees are birds,False
Some pines are trees,True
All anguses are cows,False
Some mortals are animals,True
Some plants are not daisies,True
No cows are anguses,True
All cows are birds,False
No evergreens are trees,False
Some battleships are watercrafts,True
All felines are kitties,True
No cats are labradors,True
Some chickadees are not cows,True
Some canines are not dogs,True
No birds are anguses,True
Some cows are not birds,True
No siameses are dogs,True
All planes are aircrafts,True
All chickadees are birds,True
Some sedans are not warships,True
No cows are winged animals,True
No canines are labradors,False
All cattles are cows,False
No cruisers are watercrafts,False
All birdies are winged animals,True
No warships are cars,True
All pooches are dogs,True
Some cows are mammals,True
All pines are evergreens,True
All daisies are flowers,True
No birds are chickadees,True
No felines are dogs,True
Some birds are not chickadees,True
No chickadees are winged animals,False
Some mammals are not anguses,True
Some plants are flowers,True
Some winged animals are not birds,True
All mortals are humans,True
Some birds are not mammals,True
No sedans are cars,False
All pines are trees,True
No dogs are cows,True
Some warships are not planes,True
All aircrafts are planes,True
All vehicles are animals,False
All birds are birdies,False
All dogs are felines,False
Some warships are not boeings,True
Some planes are not cruisers,True
All cars are automobiles,True
Some watercrafts are not cruisers,True
All mortals are animals,True
Some airplanes are planes,True
Some sedans are cars,True
Some plants are daisies,True
All warships are watercrafts,True
All warships are planes,False
All cats are birds,False
Some warships are cruisers,True
No cows are chickadees,True
Some humans are animals,True
All vehicles are automobiles,False
Some winged animals are not cows,True
Some chickadees are winged animals,True
Some automobiles are vehicles,True
All cruisers are planes,False
Some vehicles are not cars,True
Some cats are not birds,True
Some dogs are not felines,True
No trees are pines,False
All trees are flowers,False
Some dogs are pooches,True
All sedans are animals,False
No birds are winged animals,False
Some cats are felines,True
No flowers are daisies,True
Some trees are not evergreens,True
All cruisers are watercrafts,True
All blossoms are plants,True
Some siameses are cats,True
All kitties are felines,True
All animals are sedans,False
Some cattles are cows,True
Some mortals are not cars,True
All automobiles are cars,True
